subject,emotion,level,audio,landmarks
M003,angry,1,001.wav,001.npy
M003,angry,1,002.wav,002.npy
M003,angry,1,003.wav,003.npy
M003,angry,1,004.wav,004.npy
M003,angry,1,005.wav,005.npy
M003,angry,1,006.wav,006.npy
M003,angry,1,007.wav,007.npy
M003,angry,1,008.wav,008.npy
M003,angry,1,009.wav,009.npy
M003,angry,1,010.wav,010.npy
M003,angry,1,011.wav,011.npy
M003,angry,1,012.wav,012.npy
M003,angry,1,013.wav,013.npy
M003,angry,1,014.wav,014.npy
M003,angry,1,015.wav,015.npy
M003,angry,1,016.wav,016.npy
M003,angry,1,017.wav,017.npy
M003,angry,1,018.wav,018.npy
M003,angry,1,019.wav,019.npy
M003,angry,1,020.wav,020.npy
M003,angry,1,021.wav,021.npy
M003,angry,1,022.wav,022.npy
M003,angry,1,023.wav,023.npy
M003,angry,1,024.wav,024.npy
M003,angry,1,025.wav,025.npy
M003,angry,1,026.wav,026.npy
M003,angry,1,027.wav,027.npy
M003,angry,1,028.wav,028.npy
M003,angry,1,029.wav,029.npy
M003,angry,1,030.wav,030.npy
M003,angry,2,001.wav,001.npy
M003,angry,2,002.wav,002.npy
M003,angry,2,003.wav,003.npy
M003,angry,2,004.wav,004.npy
M003,angry,2,005.wav,005.npy
M003,angry,2,006.wav,006.npy
M003,angry,2,007.wav,007.npy
M003,angry,2,008.wav,008.npy
M003,angry,2,009.wav,009.npy
M003,angry,2,010.wav,010.npy
M003,angry,2,011.wav,011.npy
M003,angry,2,012.wav,012.npy
M003,angry,2,013.wav,013.npy
M003,angry,2,014.wav,014.npy
M003,angry,2,015.wav,015.npy
M003,angry,2,016.wav,016.npy
M003,angry,2,017.wav,017.npy
M003,angry,2,018.wav,018.npy
M003,angry,2,019.wav,019.npy
M003,angry,2,020.wav,020.npy
M003,angry,2,021.wav,021.npy
M003,angry,2,022.wav,022.npy
M003,angry,2,023.wav,023.npy
M003,angry,2,024.wav,024.npy
M003,angry,2,025.wav,025.npy
M003,angry,2,026.wav,026.npy
M003,angry,2,027.wav,027.npy
M003,angry,2,028.wav,028.npy
M003,angry,2,029.wav,029.npy
M003,angry,2,030.wav,030.npy
M003,angry,3,001.wav,001.npy
M003,angry,3,002.wav,002.npy
M003,angry,3,003.wav,003.npy
M003,angry,3,004.wav,004.npy
M003,angry,3,005.wav,005.npy
M003,angry,3,006.wav,006.npy
M003,angry,3,007.wav,007.npy
M003,angry,3,008.wav,008.npy
M003,angry,3,009.wav,009.npy
M003,angry,3,010.wav,010.npy
M003,angry,3,011.wav,011.npy
M003,angry,3,012.wav,012.npy
M003,angry,3,013.wav,013.npy
M003,angry,3,014.wav,014.npy
